Date,Adj Close,Close,High,Low,Open,Volume
,GMAB.CO,GMAB.CO,GMAB.CO,GMAB.CO,GMAB.CO,GMAB.CO
2025-03-14,1414.0,1414.0,1446.0,1367.5,1372.0,239572
2025-03-17,1399.5,1399.5,1404.0,1367.0,1377.0,179976
2025-03-18,1389.0,1389.0,1430.5,1388.5,1426.0,153117
2025-03-19,1377.5,1377.5,1387.0,1357.5,1367.5,178002
2025-03-20,1371.5,1371.5,1383.0,1357.0,1377.5,109580
2025-03-21,1363.5,1363.5,1377.0,1353.0,1360.0,145931
2025-03-24,1325.0,1325.0,1348.0,1300.0,1348.0,245272
2025-03-25,1322.0,1322.0,1358.5,1320.5,1343.0,108687
2025-03-26,1356.0,1356.0,1374.5,1327.0,1354.0,224718
2025-03-27,1399.0,1399.0,1409.0,1335.5,1358.5,230633
2025-03-28,1364.0,1364.0,1400.5,1360.5,1390.0,194435
2025-03-31,1340.0,1340.0,1352.5,1331.0,1350.0,217604
2025-04-01,1306.0,1306.0,1324.5,1268.0,1315.0,235359
2025-04-02,1275.5,1275.5,1291.5,1256.0,1274.0,242330
2025-04-03,1285.0,1285.0,1295.0,1259.5,1268.5,286113
2025-04-04,1251.5,1251.5,1306.0,1247.5,1285.0,205378
2025-04-07,1234.0,1234.0,1269.0,1157.0,1176.5,283214
2025-04-08,1268.5,1268.5,1287.0,1235.5,1269.0,257546
2025-04-09,1168.5,1168.5,1223.0,1168.5,1220.0,234067
2025-04-10,1217.0,1217.0,1281.5,1217.0,1276.5,319480
2025-04-11,1225.0,1225.0,1239.5,1199.0,1204.0,220384
2025-04-14,1274.0,1274.0,1278.0,1247.0,1256.0,227348
2025-04-15,1293.0,1293.0,1328.0,1275.0,1283.0,304995
2025-04-16,1291.5,1291.5,1294.5,1275.0,1292.0,241353
2025-04-22,1298.0,1298.0,1307.0,1274.5,1307.0,193517
2025-04-23,1330.0,1330.0,1340.0,1315.0,1320.0,224307
2025-04-24,1340.0,1340.0,1344.0,1306.5,1320.0,130656
2025-04-25,1347.0,1347.0,1358.0,1332.5,1346.0,113161
2025-04-28,1350.0,1350.0,1361.0,1347.0,1350.0,103794
2025-04-29,1374.5,1374.5,1381.5,1350.0,1350.0,91310
2025-04-30,1390.0,1390.0,1402.5,1372.0,1380.0,201476
2025-05-01,1399.0,1399.0,1414.0,1386.0,1400.5,72552
2025-05-02,1421.5,1421.5,1429.5,1407.5,1415.0,165636
2025-05-05,1429.5,1429.5,1440.5,1419.0,1433.0,106598
2025-05-06,1393.0,1393.0,1421.0,1387.0,1420.5,107987
2025-05-07,1364.5,1364.5,1387.0,1352.0,1363.0,233493
2025-05-08,1290.0,1290.0,1363.0,1282.0,1363.0,282883
2025-05-09,1319.0,1319.0,1324.0,1285.5,1305.0,317039
2025-05-12,1320.0,1320.0,1328.0,1204.5,1272.5,343652
2025-05-13,1270.0,1270.0,1353.5,1268.5,1348.0,271753
2025-05-14,1295.5,1295.5,1310.0,1289.5,1289.5,183641
2025-05-15,1295.0,1295.0,1304.5,1268.5,1271.0,151647
2025-05-16,1321.0,1321.0,1334.5,1308.0,1326.5,210303
2025-05-19,1320.0,1320.0,1332.5,1305.0,1332.0,168059
2025-05-20,1339.0,1339.0,1353.0,1332.0,1340.0,127436
2025-05-21,1375.0,1375.0,1383.0,1339.0,1350.0,208869
2025-05-22,1397.5,1397.5,1406.5,1366.5,1366.5,230845
2025-05-23,1360.0,1360.0,1429.0,1342.0,1399.0,165264
2025-05-26,1373.5,1373.5,1383.0,1367.5,1376.5,60096
2025-05-27,1394.0,1394.0,1409.0,1366.0,1379.0,150541
2025-05-28,1379.5,1379.5,1396.5,1370.5,1396.0,297061
2025-06-02,1423.5,1423.5,1444.5,1386.0,1444.5,306140
2025-06-03,1403.0,1403.0,1430.5,1372.5,1430.5,157771
2025-06-04,1438.5,1438.5,1452.0,1415.0,1425.0,164579
2025-06-06,1445.5,1445.5,1457.5,1425.5,1426.0,132776
2025-06-10,1495.0,1495.0,1496.0,1459.5,1467.5,167116
2025-06-11,1484.5,1484.5,1487.0,1471.5,1486.0,120459
2025-06-12,1484.0,1484.0,1486.5,1468.0,1478.0,114544
2025-06-13,1481.0,1481.0,1502.5,1473.0,1479.0,101263
2025-06-16,1474.5,1474.5,1490.0,1463.0,1483.5,97547
2025-06-17,1441.0,1441.0,1490.0,1433.5,1475.5,106665
2025-06-18,1416.5,1416.5,1436.0,1405.0,1431.0,121613
2025-06-19,1402.0,1402.0,1409.5,1391.5,1400.0,52560
2025-06-20,1377.0,1377.0,1409.5,1370.0,1404.5,175015
2025-06-23,1353.0,1353.0,1368.5,1349.0,1362.5,106774
2025-06-24,1335.0,1335.0,1358.0,1321.0,1347.5,163049
2025-06-25,1315.5,1315.5,1333.5,1310.5,1331.0,174315
2025-06-26,1322.5,1322.5,1330.5,1311.5,1317.0,146308
2025-06-27,1309.5,1309.5,1334.5,1301.0,1323.5,98095
2025-06-30,1315.0,1315.0,1322.0,1302.5,1319.0,87017
2025-07-01,1314.5,1314.5,1318.5,1294.5,1315.0,80524
2025-07-02,1296.0,1296.0,1313.0,1287.0,1313.0,101557
2025-07-03,1292.0,1292.0,1305.5,1285.5,1300.0,75591
2025-07-04,1298.5,1298.5,1306.0,1275.0,1285.0,59765
2025-07-07,1308.0,1308.0,1314.0,1294.0,1298.5,110307
2025-07-08,1363.5,1363.5,1370.0,1308.0,1313.0,171484
2025-07-09,1371.5,1371.5,1377.0,1356.5,1363.5,89883
2025-07-10,1394.5,1394.5,1414.5,1376.5,1380.0,88866
2025-07-11,1378.0,1378.0,1426.0,1372.5,1423.5,88093
2025-07-14,1372.0,1372.0,1382.0,1362.5,1370.0,52367
2025-07-15,1361.0,1361.0,1397.5,1361.0,1372.0,67524
2025-07-16,1406.5,1406.5,1410.0,1357.0,1363.5,155697
2025-07-17,1420.5,1420.5,1438.0,1397.5,1405.0,128015
2025-07-18,1419.5,1419.5,1438.5,1414.5,1424.0,87536
2025-07-21,1391.5,1391.5,1413.5,1385.5,1407.5,44090
2025-07-22,1385.0,1385.0,1394.5,1368.0,1389.5,58348
2025-07-23,1449.5,1449.5,1449.5,1403.0,1404.0,135056
2025-07-24,1502.5,1502.5,1516.5,1456.5,1456.5,152828
2025-07-25,1490.5,1490.5,1512.0,1480.0,1502.5,70681
2025-07-28,1497.5,1497.5,1515.0,1487.0,1510.0,71162
2025-07-29,1467.0,1467.0,1506.5,1460.5,1497.0,117429
2025-07-30,1463.5,1463.5,1474.0,1454.0,1468.0,95649
2025-07-31,1437.5,1437.5,1461.0,1429.5,1455.0,105815
2025-08-01,1387.0,1387.0,1418.0,1375.0,1388.5,101102
2025-08-04,1414.0,1414.0,1415.5,1398.0,1405.0,86069
2025-08-05,1431.0,1431.0,1443.0,1419.5,1428.5,105132
2025-08-06,1377.0,1377.0,1436.5,1377.0,1432.0,167067
2025-08-07,1446.5,1446.5,1465.5,1379.0,1386.5,138187
2025-08-08,1382.0,1382.0,1490.5,1362.5,1483.5,292996
2025-08-11,1357.5,1357.5,1382.0,1337.0,1382.0,141622
2025-08-12,1384.0,1384.0,1389.5,1346.0,1350.0,103454
2025-08-13,1437.5,1437.5,1440.0,1396.0,1402.5,123922
2025-08-14,1458.5,1458.5,1467.5,1440.5,1460.0,108543
2025-08-15,1497.5,1497.5,1501.0,1472.0,1475.0,149014
2025-08-18,1507.5,1507.5,1509.0,1478.5,1480.5,85129
2025-08-19,1515.5,1515.5,1528.5,1493.5,1505.5,97778
2025-08-20,1543.5,1543.5,1560.5,1520.5,1521.5,101106
2025-08-21,1574.0,1574.0,1580.0,1549.0,1557.5,161371
2025-08-22,1570.0,1570.0,1597.5,1570.0,1570.0,104426
2025-08-25,1574.5,1574.5,1581.0,1554.0,1570.0,77129
2025-08-26,1577.5,1577.5,1602.0,1554.5,1561.5,411535
2025-08-27,1587.0,1587.0,1609.0,1578.0,1578.5,94825
2025-08-28,1605.5,1605.5,1620.0,1600.5,1610.5,34852
